"","Date","Visitor","G","Home","G.1","X","Att.","LOG","Notes"
"869","2022-03-04","Vegas Golden Knights",5,"Anaheim Ducks",4,"",12586,"2:31",""
"870","2022-03-04","Minnesota Wild",4,"Buffalo Sabres",5,"",8462,"2:29",""
"871","2022-03-04","Pittsburgh Penguins",2,"Carolina Hurricanes",3,"OT",19023,"2:40",""
"872","2022-03-04","Los Angeles Kings",4,"Columbus Blue Jackets",3,"OT",15778,"2:28",""
"873","2022-03-04","New Jersey Devils",1,"New York Rangers",3,"",18006,"2:25",""
"874","2022-03-04","Detroit Red Wings",1,"Tampa Bay Lightning",3,"",19092,"2:27",""
"875","2022-03-04","Dallas Stars",4,"Winnipeg Jets",3,"OT",13466,"2:34",""
"876","2022-03-05","Ottawa Senators",5,"Arizona Coyotes",8,"",11810,"2:27",""
"877","2022-03-05","Boston Bruins",5,"Columbus Blue Jackets",4,"SO",19434,"2:39",""
"878","2022-03-05","Calgary Flames",4,"Colorado Avalanche",3,"OT",18087,"2:33",""
"879","2022-03-05","Montreal Canadiens",5,"Edmonton Oilers",2,"",18258,"2:31",""
"880","2022-03-05","Detroit Red Wings",2,"Florida Panthers",6,"",15890,"2:21",""
"881","2022-03-05","St. Louis Blues",1,"New York Islanders",2,"",17255,"2:30",""
"882","2022-03-05","Chicago Blackhawks",3,"Philadelphia Flyers",4,"",18448,"2:38",""
"883","2022-03-05","Nashville Predators",8,"San Jose Sharks",0,"",13936,"2:31",""
"884","2022-03-05","Vancouver Canucks",6,"Toronto Maple Leafs",4,"",17534,"2:29",""
"885","2022-03-05","Seattle Kraken",2,"Washington Capitals",5,"",18573,"2:25",""
"886","2022-03-06","San Jose Sharks",2,"Anaheim Ducks",3,"OT",12183,"2:29",""
"887","2022-03-06","Los Angeles Kings",3,"Buffalo Sabres",0,"",10775,"2:32",""
"888","2022-03-06","Seattle Kraken",2,"Carolina Hurricanes",3,"",18156,"2:33",""
"889","2022-03-06","Tampa Bay Lightning",6,"Chicago Blackhawks",3,"",18856,"2:23",""
"890","2022-03-06","Dallas Stars",6,"Minnesota Wild",3,"",18791,"2:42",""
"891","2022-03-06","St. Louis Blues",2,"New Jersey Devils",3,"OT",14923,"2:25",""
"892","2022-03-06","Ottawa Senators",1,"Vegas Golden Knights",2,"",17909,"2:31",""
"893","2022-03-06","New York Rangers",4,"Winnipeg Jets",1,"",12867,"2:16",""
"894","2022-03-07","Los Angeles Kings",3,"Boston Bruins",2,"OT",17850,"2:43",""
"895","2022-03-07","Florida Panthers",6,"Buffalo Sabres",1,"",7906,"2:24",""
"896","2022-03-07","Toronto Maple Leafs",5,"Columbus Blue Jackets",4,"",14252,"2:35",""
"897","2022-03-07","Edmonton Oilers",1,"Calgary Flames",3,"",17246,"2:31",""
"898","2022-03-07","Colorado Avalanche",5,"New York Islanders",4,"",16378,"2:31",""
"899","2022-03-08","Washington Capitals",5,"Calgary Flames",4,"",15628,"2:30",""
"900","2022-03-08","Anaheim Ducks",3,"Chicago Blackhawks",8,"",18591,"2:25",""
"901","2022-03-08","Arizona Coyotes",9,"Detroit Red Wings",2,"",14621,"2:29",""
"902","2022-03-08","New York Rangers",2,"Minnesota Wild",5,"",18356,"2:21",""
"903","2022-03-08","Colorado Avalanche",3,"New Jersey Devils",5,"",12181,"2:30",""
"904","2022-03-08","Dallas Stars",1,"Nashville Predators",2,"",17306,"2:18",""
"905","2022-03-08","Vegas Golden Knights",1,"Philadelphia Flyers",2,"",14482,"2:36",""
"906","2022-03-08","Florida Panthers",4,"Pittsburgh Penguins",3,"",17876,"2:29",""
"907","2022-03-08","Ottawa Senators",4,"St. Louis Blues",1,"",18096,"2:17",""
"908","2022-03-08","Seattle Kraken",4,"Toronto Maple Leafs",6,"",17547,"2:30",""
"909","2022-03-08","Tampa Bay Lightning",4,"Winnipeg Jets",7,"",12925,"2:18",""
"910","2022-03-09","Washington Capitals",3,"Edmonton Oilers",4,"OT",16368,"2:41",""
"911","2022-03-09","Montreal Canadiens",3,"Vancouver Canucks",5,"",18645,"2:26",""
"912","2022-03-10","Chicago Blackhawks",3,"Boston Bruins",4,"",17850,"2:31",""
"913","2022-03-10","Vegas Golden Knights",1,"Buffalo Sabres",3,"",12437,"2:24",""
"914","2022-03-10","Colorado Avalanche",0,"Carolina Hurricanes",2,"",18056,"2:26",""
"915","2022-03-10","Tampa Bay Lightning",1,"Calgary Flames",4,"",15689,"2:25",""
"916","2022-03-10","Minnesota Wild",6,"Detroit Red Wings",5,"SO",17461,"2:52",""
"917","2022-03-10","Philadelphia Flyers",3,"Florida Panthers",6,"",17193,"2:42",""
"918","2022-03-10","San Jose Sharks",4,"Los Angeles Kings",3,"OT",14228,"2:28",""
"919","2022-03-10","Winnipeg Jets",2,"New Jersey Devils",1,"",12377,"2:16",""
"920","2022-03-10","Anaheim Ducks",1,"Nashville Predators",4,"",17159,"2:38",""
"921","2022-03-10","Columbus Blue Jackets",0,"New York Islanders",6,"",16048,"2:31",""
"922","2022-03-10","Seattle Kraken",3,"Ottawa Senators",4,"OT",11622,"2:29",""
"923","2022-03-10","New York Rangers",2,"St. Louis Blues",6,"",18096,"2:24",""
"924","2022-03-10","Arizona Coyotes",5,"Toronto Maple Leafs",4,"OT",17351,"2:26",""
"925","2022-03-11","Minnesota Wild",2,"Columbus Blue Jackets",3,"SO",16399,"2:41",""
"926","2022-03-11","Winnipeg Jets",2,"New York Islanders",5,"",17255,"2:27",""
"927","2022-03-11","Vegas Golden Knights",2,"Pittsburgh Penguins",5,"",18341,"2:23",""
"928","2022-03-11","Washington Capitals",4,"Vancouver Canucks",3,"OT",18814,"2:33",""
"929","2022-03-12","Arizona Coyotes",2,"Boston Bruins",3,"",17850,"2:24",""
"930","2022-03-12","Philadelphia Flyers",1,"Carolina Hurricanes",3,"",18680,"2:23",""
"931","2022-03-12","Detroit Red Wings",0,"Calgary Flames",3,"",17658,"2:28",""
"932","2022-03-12","New York Rangers",7,"Dallas Stars",4,"",18532,"2:27",""
"933","2022-03-12","Tampa Bay Lightning",1,"Edmonton Oilers",4,"",17528,"2:39",""
"934","2022-03-12","Seattle Kraken",4,"Montreal Canadiens",3,"SO",20608,"2:51",""
"935","2022-03-12","Anaheim Ducks",1,"New Jersey Devils",2,"SO",14783,"2:30",""
"936","2022-03-12","St. Louis Blues",7,"Nashville Predators",4,"",17565,"2:32",""
"937","2022-03-12","Chicago Blackhawks",6,"Ottawa Senators",3,"",14252,"2:26",""
"938","2022-03-12","Los Angeles Kings",0,"San Jose Sharks",5,"",13821,"2:18",""
"939","2022-03-13","Toronto Maple Leafs",2,"Buffalo Sabres",5,"",26119,"2:46","at Tim Horton's Field (ON Ha)"
"940","2022-03-13","Vegas Golden Knights",4,"Columbus Blue Jackets",6,"",16087,"2:33",""
"941","2022-03-13","Calgary Flames",0,"Colorado Avalanche",3,"",18081,"2:27",""
"942","2022-03-13","Florida Panthers",2,"Los Angeles Kings",3,"SO",15822,"2:39",""
"943","2022-03-13","Nashville Predators",6,"Minnesota Wild",2,"",19009,"2:29",""
"944","2022-03-13","Anaheim Ducks",3,"New York Islanders",4,"",17255,"2:30",""
"945","2022-03-13","Montreal Canadiens",4,"Philadelphia Flyers",3,"OT",15451,"2:35",""
"946","2022-03-13","Carolina Hurricanes",2,"Pittsburgh Penguins",4,"",17866,"2:38",""
"947","2022-03-13","Winnipeg Jets",4,"St. Louis Blues",3,"OT",18096,"2:28",""
"948","2022-03-13","Tampa Bay Lightning",2,"Vancouver Canucks",1,"",18760,"2:28",""
"949","2022-03-14","Arizona Coyotes",5,"Ottawa Senators",3,"",9201,"2:22",""
"950","2022-03-15","Boston Bruins",2,"Chicago Blackhawks",1,"OT",19629,"2:34",""
"951","2022-03-15","Detroit Red Wings",5,"Edmonton Oilers",7,"",15311,"2:30",""
"952","2022-03-15","Colorado Avalanche",3,"Los Angeles Kings",0,"",13967,"2:26",""
"953","2022-03-15","Arizona Coyotes",6,"Montreal Canadiens",3,"",20532,"2:26",""
"954","2022-03-15","Pittsburgh Penguins",1,"Nashville Predators",4,"",17498,"2:23",""
"955","2022-03-15","Anaheim Ducks",3,"New York Rangers",4,"OT",18006,"2:28",""
"956","2022-03-15","Florida Panthers",3,"San Jose Sharks",2,"OT",12276,"2:33",""
"957","2022-03-15","Dallas Stars",0,"Toronto Maple Leafs",4,"",18543,"2:22",""
"958","2022-03-15","New Jersey Devils",3,"Vancouver Canucks",6,"",18562,"2:32",""
"959","2022-03-15","Vegas Golden Knights",3,"Winnipeg Jets",7,"",13470,"2:25",""
"960","2022-03-15","New York Islanders",3,"Washington Capitals",4,"SO",18573,"2:45",""
"961","2022-03-16","New Jersey Devils",3,"Calgary Flames",6,"",15488,"2:26",""
"962","2022-03-16","Boston Bruins",2,"Minnesota Wild",4,"",17956,"2:40",""
"963","2022-03-16","Columbus Blue Jackets",4,"Ottawa Senators",1,"",10087,"2:23",""
"964","2022-03-16","Tampa Bay Lightning",4,"Seattle Kraken",1,"",17151,"2:27",""
"965","2022-03-17","Washington Capitals",7,"Columbus Blue Jackets",2,"",15911,"2:36",""
"966","2022-03-17","Buffalo Sabres",1,"Edmonton Oilers",6,"",15883,"2:28",""
"967","2022-03-17","San Jose Sharks",0,"Los Angeles Kings",3,"",13137,"2:17",""
"968","2022-03-17","Dallas Stars",4,"Montreal Canadiens",3,"OT",20714,"2:41",""
"969","2022-03-17","New York Islanders",2,"New York Rangers",1,"",18006,"2:16",""
"970","2022-03-17","Nashville Predators",4,"Philadelphia Flyers",5,"",18405,"2:43",""
"971","2022-03-17","Pittsburgh Penguins",3,"St. Louis Blues",2,"SO",18096,"2:43",""
"972","2022-03-17","Carolina Hurricanes",2,"Toronto Maple Leafs",3,"",18134,"2:19",""
"973","2022-03-17","Detroit Red Wings",1,"Vancouver Canucks",0,"",18893,"2:26",""
"974","2022-03-17","Florida Panthers",3,"Vegas Golden Knights",5,"",18265,"2:33",""
"975","2022-03-18","Florida Panthers",3,"Anaheim Ducks",0,"",12296,"2:28",""
"976","2022-03-18","Washington Capitals",4,"Carolina Hurricanes",3,"SO",18680,"2:59",""
"977","2022-03-18","Buffalo Sabres",1,"Calgary Flames",0,"OT",16685,"2:23",""
"978","2022-03-18","Philadelphia Flyers",1,"Ottawa Senators",3,"",11431,"2:34",""
"979","2022-03-18","Colorado Avalanche",5,"San Jose Sharks",3,"",13022,"2:27",""
"980","2022-03-18","Boston Bruins",4,"Winnipeg Jets",2,"",14191,"2:30",""
"981","2022-03-19","Pittsburgh Penguins",4,"Arizona Coyotes",1,"",14507,"2:19",""
"982","2022-03-19","St. Louis Blues",4,"Columbus Blue Jackets",5,"",19005,"2:29",""
"983","2022-03-19","New Jersey Devils",3,"Edmonton Oilers",6,"",16950,"2:35",""
"984","2022-03-19","Chicago Blackhawks",1,"Minnesota Wild",3,"",19226,"2:26",""
"985","2022-03-19","Ottawa Senators",1,"Montreal Canadiens",5,"",21105,"2:29",""
"986","2022-03-19","Toronto Maple Leafs",3,"Nashville Predators",6,"",17692,"2:38",""
"987","2022-03-19","Dallas Stars",2,"New York Islanders",4,"",17255,"2:26",""
"988","2022-03-19","Detroit Red Wings",2,"Seattle Kraken",4,"",17151,"2:30",""
"989","2022-03-19","New York Rangers",2,"Tampa Bay Lightning",1,"",19092,"2:34",""
"990","2022-03-19","Calgary Flames",5,"Vancouver Canucks",2,"",18865,"2:22",""
"991","2022-03-19","Los Angeles Kings",1,"Vegas Golden Knights",5,"",18136,"2:28",""
"992","2022-03-20","New York Rangers",2,"Carolina Hurricanes",0,"",18680,"2:23",""
"993","2022-03-20","Winnipeg Jets",6,"Chicago Blackhawks",4,"",19251,"2:25",""
"994","2022-03-20","New York Islanders",1,"Philadelphia Flyers",2,"",17218,"2:24",""
"995","2022-03-20","Arizona Coyotes",2,"San Jose Sharks",4,"",13349,"2:18",""
"996","2022-03-20","Buffalo Sabres",3,"Vancouver Canucks",2,"OT",18873,"2:32",""
"997","2022-03-20","Dallas Stars",3,"Washington Capitals",2,"",18573,"2:33",""
"998","2022-03-21","Nashville Predators",6,"Anaheim Ducks",3,"",11679,"2:33",""
"999","2022-03-21","Edmonton Oilers",2,"Colorado Avalanche",3,"OT",18022,"2:30",""
"1000","2022-03-21","Vegas Golden Knights",0,"Minnesota Wild",3,"",17498,"2:20",""
"1001","2022-03-21","Boston Bruins",3,"Montreal Canadiens",2,"OT",20922,"2:27",""
"1002","2022-03-22","Seattle Kraken",4,"Arizona Coyotes",2,"",11670,"2:19",""
"1003","2022-03-22","Tampa Bay Lightning",2,"Carolina Hurricanes",3,"",16783,"2:41",""
"1004","2022-03-22","San Jose Sharks",4,"Calgary Flames",3,"",15594,"2:29",""
"1005","2022-03-22","Edmonton Oilers",3,"Dallas Stars",5,"",18532,"2:28",""
"1006","2022-03-22","Philadelphia Flyers",3,"Detroit Red Wings",6,"",15521,"2:30",""
"1007","2022-03-22","Nashville Predators",1,"Los Angeles Kings",6,"",12629,"2:21",""
"1008","2022-03-22","New York Rangers",4,"New Jersey Devils",7,"",16514,"2:25",""
"1009","2022-03-22","Ottawa Senators",0,"New York Islanders",3,"",15856,"2:17",""
"1010","2022-03-22","Columbus Blue Jackets",1,"Pittsburgh Penguins",5,"",18196,"2:21",""
"1011","2022-03-22","Vegas Golden Knights",0,"Winnipeg Jets",4,"",13690,"2:23",""
"1012","2022-03-22","St. Louis Blues",5,"Washington Capitals",2,"",18573,"2:18",""
"1013","2022-03-23","Chicago Blackhawks",4,"Anaheim Ducks",2,"",11740,"2:30",""
"1014","2022-03-23","Pittsburgh Penguins",3,"Buffalo Sabres",4,"SO",9399,"2:35",""
"1015","2022-03-23","Vancouver Canucks",3,"Colorado Avalanche",1,"",17482,"2:21",""
"1016","2022-03-23","New Jersey Devils",2,"Toronto Maple Leafs",3,"",18739,"2:27",""
"1017","2022-03-24","Tampa Bay Lightning",2,"Boston Bruins",3,"",17850,"2:39",""
"1018","2022-03-24","Dallas Stars",4,"Carolina Hurricanes",3,"SO",16421,"2:41",""
"1019","2022-03-24","San Jose Sharks",2,"Edmonton Oilers",5,"",16740,"2:30",""
"1020","2022-03-24","Chicago Blackhawks",4,"Los Angeles Kings",3,"SO",13518,"2:38",""
"1021","2022-03-24","Vancouver Canucks",2,"Minnesota Wild",3,"OT",17333,"2:39",""
"1022","2022-03-24","Florida Panthers",4,"Montreal Canadiens",3,"",20788,"2:34",""
"1023","2022-03-24","Detroit Red Wings",2,"New York Islanders",5,"",16429,"2:19",""
"1024","2022-03-24","Philadelphia Flyers",5,"St. Louis Blues",2,"",18096,"2:19",""
"1025","2022-03-24","Nashville Predators",1,"Vegas Golden Knights",6,"",18021,"2:42",""
"1026","2022-03-24","Ottawa Senators",5,"Winnipeg Jets",2,"",14175,"2:24",""
"1027","2022-03-25","Washington Capitals",4,"Buffalo Sabres",3,"SO",9740,"2:35",""
"1028","2022-03-25","Arizona Coyotes",2,"Calgary Flames",4,"",16526,"2:23",""
"1029","2022-03-25","Philadelphia Flyers",3,"Colorado Avalanche",6,"",18051,"2:33",""
"1030","2022-03-25","Pittsburgh Penguins",1,"New York Rangers",5,"",18006,"2:20",""
"1031","2022-03-25","Columbus Blue Jackets",3,"Winnipeg Jets",4,"OT",13475,"2:30",""
"1032","2022-03-26","New York Islanders",3,"Boston Bruins",6,"",17850,"2:32",""
"1033","2022-03-26","Edmonton Oilers",5,"Calgary Flames",9,"",19289,"2:40",""
"1034","2022-03-26","Vancouver Canucks",4,"Dallas Stars",1,"",18532,"2:36",""
"1035","2022-03-26","Tampa Bay Lightning",2,"Detroit Red Wings",1,"OT",19515,"2:44",""
"1036","2022-03-26","Seattle Kraken",2,"Los Angeles Kings",4,"",18230,"2:20",""
"1037","2022-03-26","Columbus Blue Jackets",2,"Minnesota Wild",3,"OT",19089,"2:41",""
"1038","2022-03-26","Toronto Maple Leafs",2,"Montreal Canadiens",4,"",21105,"2:30",""
"1039","2022-03-26","Florida Panthers",4,"Ottawa Senators",3,"SO",17201,"2:54",""
"1040","2022-03-26","Anaheim Ducks",1,"San Jose Sharks",4,"",14161,"2:19",""
"1041","2022-03-26","Carolina Hurricanes",7,"St. Louis Blues",2,"",18096,"2:28",""
"1042","2022-03-26","Chicago Blackhawks",4,"Vegas Golden Knights",5,"OT",18301,"2:33",""
"1043","2022-03-26","New Jersey Devils",3,"Washington Capitals",4,"",18573,"2:30",""
"1044","2022-03-27","Colorado Avalanche",2,"Minnesota Wild",3,"OT",19140,"2:43",""
"1045","2022-03-27","Montreal Canadiens",2,"New Jersey Devils",3,"SO",12080,"2:42",""
"1046","2022-03-27","Philadelphia Flyers",4,"Nashville Predators",5,"",17414,"2:29",""
"1047","2022-03-27","Tampa Bay Lightning",4,"New York Islanders",1,"",17255,"2:39",""
"1048","2022-03-27","Buffalo Sabres",4,"New York Rangers",5,"OT",18006,"2:25",""
"1049","2022-03-27","Detroit Red Wings",2,"Pittsburgh Penguins",11,"",17842,"2:34",""
"1050","2022-03-27","Florida Panthers",2,"Toronto Maple Leafs",5,"",18939,"2:32",""
"1051","2022-03-27","Arizona Coyotes",1,"Winnipeg Jets",2,"OT",13825,"2:27",""
"1052","2022-03-28","Buffalo Sabres",6,"Chicago Blackhawks",5,"",18648,"2:23",""
"1053","2022-03-28","Arizona Coyotes",1,"Edmonton Oilers",6,"",15237,"2:25",""
"1054","2022-03-28","Seattle Kraken",6,"Los Angeles Kings",1,"",13919,"2:30",""
"1055","2022-03-28","Vancouver Canucks",1,"St. Louis Blues",4,"",18096,"2:19",""
"1056","2022-03-28","Carolina Hurricanes",6,"Washington Capitals",1,"",18573,"2:25",""
"1057","2022-03-29","Dallas Stars",3,"Anaheim Ducks",2,"",12617,"2:30",""
"1058","2022-03-29","Toronto Maple Leafs",6,"Boston Bruins",4,"",17850,"2:34",""
"1059","2022-03-29","New York Islanders",4,"Columbus Blue Jackets",3,"",15557,"2:22",""
"1060","2022-03-29","Colorado Avalanche",2,"Calgary Flames",1,"",16543,"2:40",""
"1061","2022-03-29","Montreal Canadiens",4,"Florida Panthers",7,"",15587,"2:39",""
"1062","2022-03-29","Philadelphia Flyers",1,"Minnesota Wild",4,"",17874,"2:25",""
"1063","2022-03-29","Ottawa Senators",1,"Nashville Predators",4,"",17176,"2:41",""
"1064","2022-03-29","New York Rangers",3,"Pittsburgh Penguins",2,"",18011,"2:17",""
"1065","2022-03-29","Carolina Hurricanes",3,"Tampa Bay Lightning",4,"OT",19092,"2:37",""
"1066","2022-03-30","San Jose Sharks",2,"Arizona Coyotes",5,"",9949,"2:23",""
"1067","2022-03-30","Winnipeg Jets",3,"Buffalo Sabres",2,"SO",8055,"2:30",""
"1068","2022-03-30","New York Rangers",5,"Detroit Red Wings",4,"OT",16375,"2:27",""
"1069","2022-03-30","Los Angeles Kings",3,"Edmonton Oilers",4,"SO",16472,"2:38",""
"1070","2022-03-30","Vegas Golden Knights",3,"Seattle Kraken",0,"",17151,"2:19",""
"1071","2022-03-30","St. Louis Blues",4,"Vancouver Canucks",3,"",18809,"2:22",""
"1072","2022-03-31","Dallas Stars",3,"Anaheim Ducks",2,"OT",12385,"2:30",""
"1073","2022-03-31","New Jersey Devils",1,"Boston Bruins",8,"",17850,"2:49",""
"1074","2022-03-31","Montreal Canadiens",0,"Carolina Hurricanes",4,"",15289,"2:30",""
"1075","2022-03-31","Los Angeles Kings",3,"Calgary Flames",2,"SO",16398,"2:34",""
"1076","2022-03-31","San Jose Sharks",2,"Colorado Avalanche",4,"",18013,"2:25",""
"1077","2022-03-31","Chicago Blackhawks",0,"Florida Panthers",4,"",15218,"2:30",""
"1078","2022-03-31","Pittsburgh Penguins",4,"Minnesota Wild",3,"OT",18978,"2:41",""
"1079","2022-03-31","Columbus Blue Jackets",2,"New York Islanders",5,"",17255,"2:19",""
"1080","2022-03-31","Winnipeg Jets",3,"Toronto Maple Leafs",7,"",18517,"2:39",""
"1081","2022-04-01","Anaheim Ducks",5,"Arizona Coyotes",0,"",13587,"2:27",""
"1082","2022-04-01","Nashville Predators",3,"Buffalo Sabres",4,"",19070,"2:22",""
"1083","2022-04-01","Ottawa Senators",5,"Detroit Red Wings",2,"",17563,"2:32",""
"1084","2022-04-01","St. Louis Blues",5,"Edmonton Oilers",6,"OT",16310,"2:34",""
"1085","2022-04-01","New York Islanders",3,"New York Rangers",0,"",17325,"2:21",""
"1086","2022-04-01","Vegas Golden Knights",5,"Seattle Kraken",2,"",17151,"2:29",""
"1087","2022-04-01","Chicago Blackhawks",2,"Tampa Bay Lightning",5,"",19092,"2:24",""
"1088","2022-04-02","Columbus Blue Jackets",2,"Boston Bruins",5,"",17850,"2:23",""
"1089","2022-04-02","Minnesota Wild",3,"Carolina Hurricanes",1,"",16375,"2:35",""
"1090","2022-04-02","St. Louis Blues",6,"Calgary Flames",4,"",16422,"2:32",""
"1091","2022-04-02","Pittsburgh Penguins",2,"Colorado Avalanche",3,"",18102,"2:37",""
"1092","2022-04-02","Florida Panthers",7,"New Jersey Devils",6,"OT",12284,"2:29",""
"1093","2022-04-02","Toronto Maple Leafs",6,"Philadelphia Flyers",3,"",17097,"2:24",""
"1094","2022-04-02","Dallas Stars",5,"San Jose Sharks",4,"",14021,"2:19",""
"1095","2022-04-02","Montreal Canadiens",5,"Tampa Bay Lightning",4,"SO",19092,"2:43",""
"1096","2022-04-02","Los Angeles Kings",3,"Winnipeg Jets",2,"",14067,"2:25",""
"1097","2022-04-03","Edmonton Oilers",6,"Anaheim Ducks",1,"",13689,"2:30",""
"1098","2022-04-03","Florida Panthers",5,"Buffalo Sabres",3,"",11787,"2:29",""
"1099","2022-04-03","Arizona Coyotes",3,"Chicago Blackhawks",2,"OT",19869,"2:30",""
"1100","2022-04-03","New York Islanders",4,"New Jersey Devils",3,"",14620,"2:26",""
"1101","2022-04-03","Philadelphia Flyers",4,"New York Rangers",3,"SO",16005,"2:40",""
"1102","2022-04-03","Detroit Red Wings",2,"Ottawa Senators",5,"",16402,"2:27",""
"1103","2022-04-03","Dallas Stars",1,"Seattle Kraken",4,"",17151,"2:27",""
"1104","2022-04-03","Vegas Golden Knights",3,"Vancouver Canucks",2,"OT",18969,"2:27",""
"1105","2022-04-03","Minnesota Wild",5,"Washington Capitals",1,"",18573,"2:28",""
"1106","2022-04-04","Boston Bruins",3,"Columbus Blue Jackets",2,"OT",16396,"2:45",""
"1107","2022-04-04","Calgary Flames",3,"Los Angeles Kings",2,"",13464,"2:30",""
"1108","2022-04-04","Arizona Coyotes",1,"St. Louis Blues",5,"",17163,"2:19",""
"1109","2022-04-04","Toronto Maple Leafs",6,"Tampa Bay Lightning",2,"",19092,"2:31",""
"1110","2022-04-05","Carolina Hurricanes",2,"Buffalo Sabres",4,"",8984,"2:25",""
"1111","2022-04-05","New York Islanders",2,"Dallas Stars",3,"",17876,"2:24",""
"1112","2022-04-05","Boston Bruins",3,"Detroit Red Wings",5,"",15734,"2:35",""
"1113","2022-04-05","Toronto Maple Leafs",6,"Florida Panthers",7,"OT",15260,"2:49",""
"1114","2022-04-05","Ottawa Senators",6,"Montreal Canadiens",3,"",20566,"2:27",""
"1115","2022-04-05","New York Rangers",3,"New Jersey Devils",1,"",15020,"2:20",""
"1116","2022-04-05","Minnesota Wild",2,"Nashville Predators",6,"",17244,"2:43",""
"1117","2022-04-05","Columbus Blue Jackets",4,"Philadelphia Flyers",2,"",14367,"2:24",""
"1118","2022-04-05","Colorado Avalanche",6,"Pittsburgh Penguins",4,"",17409,"2:31",""
"1119","2022-04-05","Edmonton Oilers",2,"San Jose Sharks",1,"OT",12046,"2:20",""
"1120","2022-04-06","Calgary Flames",4,"Anaheim Ducks",2,"",13417,"2:21",""
"1121","2022-04-06","Seattle Kraken",1,"St. Louis Blues",4,"",18096,"2:21",""
"1122","2022-04-06","Vancouver Canucks",5,"Vegas Golden Knights",1,"",18113,"2:20",""
"1123","2022-04-06","Detroit Red Wings",3,"Winnipeg Jets",1,"",13484,"2:21",""
"1124","2022-04-06","Tampa Bay Lightning",3,"Washington Capitals",4,"",18573,"2:38",""
"1125","2022-04-07","Vancouver Canucks",5,"Arizona Coyotes",1,"",9679,"2:14",""
"1126","2022-04-07","Buffalo Sabres",3,"Carolina Hurricanes",5,"",15639,"2:18",""
"1127","2022-04-07","Philadelphia Flyers",4,"Columbus Blue Jackets",1,"",17118,"2:11",""
"1128","2022-04-07","Seattle Kraken",2,"Chicago Blackhawks",0,"",18677,"2:16",""
"1129","2022-04-07","Toronto Maple Leafs",4,"Dallas Stars",3,"OT",18012,"2:31",""
"1130","2022-04-07","Edmonton Oilers",3,"Los Angeles Kings",2,"",15149,"2:21",""
"1131","2022-04-07","Montreal Canadiens",7,"New Jersey Devils",4,"",10435,"2:24",""
"1132","2022-04-07","Pittsburgh Penguins",0,"New York Rangers",3,"",16694,"2:24",""
"1133","2022-04-07","Nashville Predators",3,"Ottawa Senators",2,"",12103,"2:42",""
"1134","2022-04-07","Calgary Flames",4,"San Jose Sharks",2,"",11426,"2:27",""
"1135","2022-04-08","New York Islanders",2,"Carolina Hurricanes",1,"",17279,"2:18",""
"1136","2022-04-08","Buffalo Sabres",3,"Florida Panthers",4,"",17728,"2:20",""
"1137","2022-04-08","Minnesota Wild",3,"St. Louis Blues",4,"OT",18096,"2:35",""
"1138","2022-04-08","Boston Bruins",2,"Tampa Bay Lightning",1,"OT",19092,"2:34",""
"1139","2022-04-08","Colorado Avalanche",5,"Winnipeg Jets",4,"OT",13900,"2:35",""
"1140","2022-04-09","New Jersey Devils",3,"Dallas Stars",1,"",18127,"2:23",""
"1141","2022-04-09","Columbus Blue Jackets",5,"Detroit Red Wings",4,"OT",19515,"2:34",""
"1142","2022-04-09","Colorado Avalanche",2,"Edmonton Oilers",1,"SO",18347,"2:37",""
"1143","2022-04-09","Florida Panthers",4,"Nashville Predators",1,"",17465,"2:30",""
"1144","2022-04-09","Ottawa Senators",1,"New York Rangers",5,"",18006,"2:26",""
"1145","2022-04-09","Anaheim Ducks",5,"Philadelphia Flyers",3,"",17455,"2:28",""
"1146","2022-04-09","Washington Capitals",6,"Pittsburgh Penguins",3,"",18404,"2:39",""
"1147","2022-04-09","Calgary Flames",4,"Seattle Kraken",1,"",17151,"2:24",""
"1148","2022-04-09","New York Islanders",1,"St. Louis Blues",6,"",18096,"2:27",""
"1149","2022-04-09","Montreal Canadiens",2,"Toronto Maple Leafs",3,"",19113,"2:28",""
"1150","2022-04-09","San Jose Sharks",2,"Vancouver Canucks",4,"",18607,"2:34",""
"1151","2022-04-09","Arizona Coyotes",1,"Vegas Golden Knights",6,"",18123,"2:23",""
"1152","2022-04-10","Anaheim Ducks",2,"Carolina Hurricanes",5,"",17342,"2:36",""
"1153","2022-04-10","Dallas Stars",6,"Chicago Blackhawks",4,"",18809,"2:25",""
"1154","2022-04-10","Los Angeles Kings",3,"Minnesota Wild",6,"",19104,"2:29",""
"1155","2022-04-10","Winnipeg Jets",4,"Ottawa Senators",3,"",12207,"2:33",""
"1156","2022-04-10","Nashville Predators",2,"Pittsburgh Penguins",3,"OT",17553,"2:35",""
"1157","2022-04-10","Buffalo Sabres",0,"Tampa Bay Lightning",5,"",19092,"2:22",""
"1158","2022-04-10","Boston Bruins",2,"Washington Capitals",4,"",18573,"2:39",""
"1159","2022-04-11","Winnipeg Jets",4,"Montreal Canadiens",2,"",20728,"2:23",""
"1160","2022-04-12","New Jersey Devils",6,"Arizona Coyotes",2,"",8679,"2:23",""
"1161","2022-04-12","St. Louis Blues",4,"Boston Bruins",2,"",17850,"2:31",""
"1162","2022-04-12","Seattle Kraken",3,"Calgary Flames",5,"",16392,"2:28",""
"1163","2022-04-12","Los Angeles Kings",5,"Chicago Blackhawks",2,"",18032,"2:19",""
